"lineid","car","time","location","longitude","latitude","cityid","cityname"
"244005","248-BX","2019/08/10 07:59:50","新北市林口區下福里157-3號","121.302155","25.115115","6501700","林口區"
"222007","289-BY","2019/08/10 07:59:47","新北市深坑區深坑街85號","121.614613333333","25.001255","6501800","深坑區"
"231007","189-VK","2019/08/10 07:59:51","新北市新店區安康路一段223號","121.52574","24.96307","6500600","新店區"
"231008","192-VK","2019/08/10 07:59:58","新北市新店區新烏路一段58-2號","121.546015","24.9471116666667","6500600","新店區"
"226007","8452-VL","2019/08/10 07:59:57","新北市平溪區南山里南山坪1號","121.777688333333","25.0429583333333","6502400","平溪區"
"226003","AGD-0702","2019/08/10 08:00:02","新北市平溪區十分里十分街51號","121.774748333333","25.041085","6502400","平溪區"
"223003","205-TH","2019/08/10 07:57:52","新北市石碇區樟空子10-2號","121.666911666667","24.9622483333333","6501900","石碇區"
"223008","406-TH","2019/08/10 07:50:28","新北市石碇區靜安路一段337號","121.69893","25.0145666666667","6501900","石碇區"
"223004","437-BY","2019/08/10 07:59:51","新北市石碇區楓子林30號","121.642316666667","25.00955","6501900","石碇區"
"223001","592-UM","2019/08/10 07:59:24","新北市石碇區樟空子1號","121.666706666667","24.9593316666667","6501900","石碇區"
"223007","661-BX","2019/08/10 07:55:56","新北市石碇區靜安路一段337號","121.698625","25.0145266666667","6501900","石碇區"
"227004","282-VK","2019/08/10 07:59:48","新北市雙溪區牡丹里中正路67號","121.864778333333","25.04383","6502500","雙溪區"
"252007","178-VK","2019/08/10 08:00:03","新北市三芝區後厝里土地公坑61-1號","121.463943333333","25.2469766666667","6502100","三芝區"
"252004","249-BX","2019/08/10 07:59:53","新北市三芝區興華里車埕16-2號","121.506291666667","25.20076","6502100","三芝區"
"237014","760-BX","2019/08/10 07:59:43","新北市三峽區有木106-5號","121.436286666667","24.8613016666667","6500900","三峽區"
"226005","ANY-2373","2019/08/10 08:00:02","新北市平溪區靜安路二段530巷7號","121.74495","25.02735","6502400","平溪區"
