"lineid","car","time","location","longitude","latitude","cityid","cityname"
"244002","248-BX","2019/12/24 08:43:41","新北市林口區汕頭12號","121.362643333333","25.133675","6501700","林口區"
"222005","289-BY","2019/12/24 08:43:40","新北市深坑區文山路二段61號","121.613701666667","24.9960016666667","6501800","深坑區"
"231007","189-VK","2019/12/24 08:43:44","新北市新店區小坑二路2巷7號","121.532516666667","24.91645","6500600","新店區"
"231009","192-VK","2019/12/24 08:43:43","新北市新店區廣興路16號","121.546023333333","24.9127383333333","6500600","新店區"
"223003","205-TH","2019/12/24 08:43:33","新北市石碇區北宜路六段柑腳巷2號","121.659546666667","24.9380766666667","6501900","石碇區"
"223008","406-TH","2019/12/24 08:43:31","新北市石碇區十八重溪68-1號","121.673098333333","25.0167766666667","6501900","石碇區"
"223001","592-UM","2019/12/24 08:43:28","新北市石碇區北宜路六段柑腳巷2號","121.659595","24.9380716666667","6501900","石碇區"
"223004","660-BX","2019/12/24 08:43:34","新北市石碇區崩山23-2號","121.675603333333","24.9692316666667","6501900","石碇區"
"223007","661-BX","2019/12/24 08:43:39","新北市石碇區十八重溪68-1號","121.672941666667","25.0170166666667","6501900","石碇區"
"223005","677-TV","2019/12/24 08:43:22","新北市石碇區崩山26-1號","121.676805","24.967285","6501900","石碇區"
"227004","282-VK","2019/12/24 08:43:22","新北市雙溪區平林里外平林76號","121.84172","25.0346933333333","6502500","雙溪區"
"227006","030-BX","2019/12/24 08:41:04","新北市雙溪區長源里下坑2號","121.801","24.9969","6502500","雙溪區"
"252004","249-BX","2019/12/24 08:43:28","新北市三芝區興華里田心子15-1號","121.492506666667","25.2043133333333","6502100","三芝區"
"252007","AAC-283","2019/12/24 08:43:34","新北市三芝區錫板里棟板頭38-2號","121.494061666667","25.2344316666667","6502100","三芝區"
