MeasureId,MeasureLocation,MeasureDate,County,Township,MeasureAddress,RadiatorTypeName,PowerDensityMax,ItemUnit,Legal
M10163,南投縣竹山鎮延正里延正路45之30號7-11,2017-08-08,南投縣,竹山鎮,南投縣竹山鎮延正里延正路45之30號7-11,無線區域網路(Wi-Fi),3E-07,mW/cm<sup>2</sup>,True
D00999,麻豆區監理站前落地型變壓器量測(N0231、GL53),2017-09-22,臺南市,麻豆區,臺南市麻豆區新生北路551號,落地型變壓器,7.484,mG,True
D00998,麻豆區龍鳳宮對面落地型變壓器量測(N0330、AE94),2017-09-22,臺南市,麻豆區,臺南市麻豆區大埕里中正路139號,落地型變壓器,0.962,mG,True
D00997,麻豆區公所前落地型變壓器量測(N0430、AB17),2017-09-22,臺南市,麻豆區,臺南市麻豆區東角里忠孝路250號,落地型變壓器,3.841,mG,True
P10301,斗南福懋加油站（光華站),2017-10-03,雲林縣,斗南鎮,福懋加油站（光華站),落地型變壓器,0.815,mG,True
P10300,斗南惠生大藥局旁,2017-10-03,雲林縣,斗南鎮,惠生大藥局,落地型變壓器,11.67,mG,True
P10298,斗南全家便利商店(西岐店）,2017-10-11,雲林縣,斗南鎮,全家便利商店,落地型變壓器,46.9,mG,True
P10297,斗南承恩陸橋下,2017-10-03,雲林縣,斗南鎮,承恩陸橋下,落地型變壓器,14.94,mG,True
P10296,斗六消防局前,2017-10-03,雲林縣,斗六市,消防局,落地型變壓器,1.452,mG,True
P10305,斗六人文公園廁所前,2017-10-12,雲林縣,斗六市,人文公園,落地型變壓器,6.564,mG,True
P10306,豐田汽車斗六營業所前,2017-10-12,雲林縣,斗六市,豐田汽車,落地型變壓器,9.539,mG,True
P10303,斗六明德北路三段192號前,2017-10-12,雲林縣,斗六市,明德北路三段192號,落地型變壓器,28.75,mG,True
D00996,嘉南農田水利會麻豆工作站前落地型變壓器量測(N0430、AA62),2017-09-22,臺南市,麻豆區,臺南市麻豆區興中路233號,落地型變壓器,34.77,mG,True
O00988,落地型變壓器,2017-03-17,新竹市,東區,新竹市東大路2段449號~451號附近,落地型變壓器,0.89,mG,True
O00987,落地型變壓器,2017-03-17,新竹市,東區,新竹市民族路125號旁,落地型變壓器,1.23,mG,True
