"lineid","car","time","location","longitude","latitude","cityid","cityname"
"234046","148-BY","2019/11/04 20:13:30","新北市永和區得和路283號","121.522425","24.9996833333333","6500400","永和區"
"234081","298-R6","2019/11/04 20:13:25","新北市永和區國中路109巷1弄2號","121.52408","25.005835","6500400","永和區"
"234038","336-UY","2019/11/04 20:13:28","新北市永和區成功路一段47巷28號","121.527688333333","25.0037883333333","6500400","永和區"
"234064","337-UY","2019/11/04 20:13:15","新北市永和區得和路249號","121.520943333333","24.9999833333333","6500400","永和區"
"234086","338-UY","2019/11/04 20:13:27","新北市永和區福和路285號","121.517348333333","25.0072583333333","6500400","永和區"
"234017","745-BX","2019/11/04 20:13:21","新北市永和區文化路7號","121.515428333333","25.0150116666667","6500400","永和區"
"234030","746-BX","2019/11/04 20:13:18","新北市永和區民族街81巷3號","121.518751666667","24.9965916666667","6500400","永和區"
"234054","KEA-2590","2019/11/04 20:13:30","新北市永和區光復街2巷5號","121.516785","25.0166016666667","6500400","永和區"
"234007","KED-0605","2019/11/04 20:13:26","新北市永和區環河西路二段229巷5號","121.501518333333","25.0098283333333","6500400","永和區"
"234013","KEA-2591","2019/11/04 20:13:27","新北市永和區永貞路393號","121.507825","25.0088916666667","6500400","永和區"
"234061","AAD-866","2019/11/04 20:13:29","新北市永和區安樂路100巷2號","121.514578333333","24.999075","6500400","永和區"
"234070","748-BX","2019/11/04 20:13:28","新北市永和區永亨路31號","121.519673333333","25.006205","6500400","永和區"
"234042","862-TW","2019/11/04 20:13:23","新北市永和區雙和街4號","121.509813333333","25.0017433333333","6500400","永和區"
"234050","863-TW","2019/11/04 20:13:27","新北市永和區環河西路二段61號","121.507011666667","25.01534","6500400","永和區"
"249005","172-UM","2019/11/04 20:13:10","新北市八里區下罟子57-8號","121.387993333333","25.13861","6502300","八里區"
"249001","173-UM","2019/11/04 20:13:19","新北市八里區中華路二段342號","121.402823333333","25.1476133333333","6502300","八里區"
"249004","303-UY","2019/11/04 20:13:27","新北市八里區中山路一段189巷3號","121.411841666667","25.15819","6502300","八里區"
"249002","305-UY","2019/11/04 20:13:25","新北市八里區龍米路一段3-6號","121.457196666667","25.117535","6502300","八里區"
"249003","593-UM","2019/11/04 20:13:29","新北市八里區中山路二段447巷16號","121.39695","25.1453933333333","6502300","八里區"
"248016","026-BX","2019/11/04 20:13:21","新北市五股區成泰路三段577巷150號","121.447808333333","25.10433","6501500","五股區"
"248008","KED-0815","2019/11/04 20:13:24","新北市五股區中興路一段1巷12弄40號","121.46906","25.0689566666667","6501500","五股區"
"248012","247-BX","2019/11/04 20:09:43","新北市五股區六合街54號","121.432236666667","25.089655","6501500","五股區"
"248010","272-BY","2019/11/04 20:13:13","新北市五股區成泰路一段51號","121.434228333333","25.067305","6501500","五股區"
"248004","677-BX","2019/11/04 20:13:21","新北市五股區中興路四段29號","121.438676666667","25.0827516666667","6501500","五股區"
"248002","678-BX","2019/11/04 20:13:20","新北市五股區成泰路三段241號","121.446446666667","25.0933666666667","6501500","五股區"
"234023","9380-KE","2019/11/04 20:13:24","新北市永和區永和路二段168號","121.515551666667","25.0129466666667","6500400","永和區"
"234077","969-R7","2019/11/04 20:13:18","新北市永和區民享街18號","121.515401666667","24.99515","6500400","永和區"
"234074","AAC-211","2019/11/04 20:13:19","新北市永和區竹林路191巷3號","121.520928333333","25.0094883333333","6500400","永和區"
"234067","AAC-212","2019/11/04 20:13:13","新北市永和區保平路236巷7弄1號","121.508835","25.0059233333333","6500400","永和區"
"234003","AAC-295","2019/11/04 20:13:19","新北市永和區自強街28巷1號","121.51552","25.0079716666667","6500400","永和區"
"243011","267-VK","2019/11/04 20:13:23","新北市新莊區丹鳳街14號","121.421406666667","25.0291283333333","6501600","泰山區"
"243012","AAD-798","2019/11/04 20:13:24","新北市泰山區楓江路60號","121.436575","25.06319","6501600","泰山區"
"243010","297-R6","2019/11/04 20:05:54","新北市泰山區明志路二段136巷21弄4號","121.425948333333","25.0519516666667","6501600","泰山區"
"243014","KEA-2801","2019/11/04 20:13:17","新北市泰山區明志路一段24號","121.433551666667","25.0654816666667","6501600","泰山區"
"243016","421-VK","2019/11/04 20:13:20","新北市泰山區明志路三段227號","121.423741666667","25.0380066666667","6501600","泰山區"
"243009","KEA-2215","2019/11/04 20:13:14","新北市泰山區泰林路二段118號","121.434713333333","25.05936","6501600","泰山區"
"243013","646-TV","2019/11/04 20:13:31","新北市泰山區明志路三段74巷23號","121.423938333333","25.0417066666667","6501600","泰山區"
"243015","680-BX","2019/11/04 20:13:22","新北市泰山區明志路一段493-1號","121.430553333333","25.0550633333333","6501600","泰山區"
"222003","436-BY","2019/11/04 20:13:27","新北市深坑區埔新街99號","121.619201666667","25.0022183333333","6501800","深坑區"
"222002","659-BX","2019/11/04 20:13:21","新北市深坑區北深路三段158巷32弄1號","121.601615","25.0044383333333","6501800","深坑區"
"231042","001-UM","2019/11/04 20:13:21","新北市新店區中興路二段100巷2號","121.547445","24.9713716666667","6500600","新店區"
"231061","002-UM","2019/11/04 20:13:20","新北市新店區安興路65巷6號","121.515946666667","24.9728366666667","6500600","新店區"
"231055","0291-UT","2019/11/04 20:13:15","新北市新店區中華路42巷27號","121.540988333333","24.969045","6500600","新店區"
"231044","046-UY","2019/11/04 20:13:21","新北市新店區寶慶街66號","121.542015","24.986815","6500600","新店區"
"231060","106-UY","2019/11/04 20:13:22","新北市新店區安康路三段454號","121.484361666667","24.9512283333333","6500600","新店區"
"231051","107-UY","2019/11/04 20:13:20","新北市新店區中央一街8號","121.528825","24.97275","6500600","新店區"
