"lineid","car","time","location","longitude","latitude","cityid","cityname"
"231007","189-VK","2019/07/02 09:49:40","新北市新店區新潭路三段215巷25號","121.508083333333","24.9040166666667","6500600","新店區"
"231009","512-UM","2019/07/02 09:49:45","新北市新店區小坑一路22號","121.532941666667","24.9139433333333","6500600","新店區"
"227004","282-VK","2019/07/02 09:43:50","新北市雙溪區長源里柑腳58-1號","121.794061666667","25.0065633333333","6502500","雙溪區"
"252004","249-BX","2019/07/02 09:49:38","新北市三芝區圓山里石曹子坑64-28號","121.524463333333","25.2108066666667","6502100","三芝區"
"252007","AAC-283","2019/07/02 09:49:36","新北市三芝區新庄里新庄子95-29號","121.512571666667","25.27318","6502100","三芝區"
"237014","760-BX","2019/07/02 09:49:46","新北市三峽區安坑101-1號","121.445098333333","24.9340033333333","6500900","三峽區"
