SiteName,MonitorDate,Concentration,ItemUnit
馬公,2019-05-15,9,μg/m3
金門,2019-05-15,25,μg/m3
馬祖,2019-05-15,18,μg/m3
宜蘭,2019-05-15,14,μg/m3
陽明,2019-05-15,13,μg/m3
花蓮,2019-05-15,17,μg/m3
臺東,2019-05-15,15,μg/m3
恆春,2019-05-15,6,μg/m3
屏東,2019-05-15,16,μg/m3
前金,2019-05-15,10,μg/m3
美濃,2019-05-15,12,μg/m3
臺南,2019-05-15,11,μg/m3
新營,2019-05-15,12,μg/m3
嘉義,2019-05-15,13,μg/m3
朴子,2019-05-15,10,μg/m3
斗六,2019-05-15,14,μg/m3
南投,2019-05-15,14,μg/m3
彰化,2019-05-15,17,μg/m3
忠明,2019-05-15,16,μg/m3
豐原,2019-05-15,14,μg/m3
三義,2019-05-15,17,μg/m3
苗栗,2019-05-15,19,μg/m3
新竹,2019-05-15,19,μg/m3
竹東,2019-05-15,17,μg/m3
平鎮,2019-05-15,20,μg/m3
桃園,2019-05-15,25,μg/m3
萬華,2019-05-15,22,μg/m3
士林,2019-05-15,19,μg/m3
板橋,2019-05-15,25,μg/m3
汐止,2019-05-15,22,μg/m3
基隆,2019-05-15,14,μg/m3
馬公,2019-05-12,16,μg/m3
金門,2019-05-12,22,μg/m3
馬祖,2019-05-12,21,μg/m3
宜蘭,2019-05-12,4,μg/m3
陽明,2019-05-12,5,μg/m3
花蓮,2019-05-12,5,μg/m3
臺東,2019-05-12,5,μg/m3
恆春,2019-05-12,4,μg/m3
屏東,2019-05-12,25,μg/m3
前金,2019-05-12,22,μg/m3
美濃,2019-05-12,19,μg/m3
臺南,2019-05-12,25,μg/m3
新營,2019-05-12,28,μg/m3
嘉義,2019-05-12,30,μg/m3
朴子,2019-05-12,22,μg/m3
斗六,2019-05-12,28,μg/m3
南投,2019-05-12,24,μg/m3
彰化,2019-05-12,21,μg/m3
忠明,2019-05-12,21,μg/m3
豐原,2019-05-12,21,μg/m3
三義,2019-05-12,20,μg/m3
苗栗,2019-05-12,17,μg/m3
新竹,2019-05-12,14,μg/m3
竹東,2019-05-12,16,μg/m3
平鎮,2019-05-12,10,μg/m3
桃園,2019-05-12,9,μg/m3
萬華,2019-05-12,9,μg/m3
士林,2019-05-12,9,μg/m3
板橋,2019-05-12,9,μg/m3
汐止,2019-05-12,10,μg/m3
基隆,2019-05-12,9,μg/m3
馬公,2019-05-09,,μg/m3
金門,2019-05-09,29,μg/m3
馬祖,2019-05-09,23,μg/m3
宜蘭,2019-05-09,,μg/m3
陽明,2019-05-09,,μg/m3
花蓮,2019-05-09,6,μg/m3
臺東,2019-05-09,6,μg/m3
恆春,2019-05-09,6,μg/m3
屏東,2019-05-09,28,μg/m3
前金,2019-05-09,31,μg/m3
美濃,2019-05-09,22,μg/m3
臺南,2019-05-09,34,μg/m3
新營,2019-05-09,34,μg/m3
嘉義,2019-05-09,37,μg/m3
朴子,2019-05-09,26,μg/m3
斗六,2019-05-09,31,μg/m3
南投,2019-05-09,21,μg/m3
彰化,2019-05-09,,μg/m3
忠明,2019-05-09,10,μg/m3
豐原,2019-05-09,6,μg/m3
三義,2019-05-09,6,μg/m3
苗栗,2019-05-09,20,μg/m3
新竹,2019-05-09,12,μg/m3
竹東,2019-05-09,10,μg/m3
平鎮,2019-05-09,12,μg/m3
桃園,2019-05-09,9,μg/m3
萬華,2019-05-09,6,μg/m3
士林,2019-05-09,7,μg/m3
板橋,2019-05-09,7,μg/m3
汐止,2019-05-09,6,μg/m3
基隆,2019-05-09,7,μg/m3
馬公,2019-05-06,10,μg/m3
金門,2019-05-06,14,μg/m3
馬祖,2019-05-06,24,μg/m3
宜蘭,2019-05-06,9,μg/m3
陽明,2019-05-06,6,μg/m3
花蓮,2019-05-06,8,μg/m3
臺東,2019-05-06,7,μg/m3
恆春,2019-05-06,5,μg/m3
屏東,2019-05-06,15,μg/m3
前金,2019-05-06,24,μg/m3
美濃,2019-05-06,12,μg/m3
臺南,2019-05-06,25,μg/m3
新營,2019-05-06,22,μg/m3
嘉義,2019-05-06,24,μg/m3
朴子,2019-05-06,22,μg/m3
斗六,2019-05-06,22,μg/m3
南投,2019-05-06,17,μg/m3
彰化,2019-05-06,15,μg/m3
忠明,2019-05-06,13,μg/m3
豐原,2019-05-06,10,μg/m3
三義,2019-05-06,9,μg/m3
苗栗,2019-05-06,13,μg/m3
新竹,2019-05-06,12,μg/m3
竹東,2019-05-06,8,μg/m3
平鎮,2019-05-06,12,μg/m3
桃園,2019-05-06,13,μg/m3
萬華,2019-05-06,13,μg/m3
士林,2019-05-06,10,μg/m3
板橋,2019-05-06,13,μg/m3
汐止,2019-05-06,13,μg/m3
基隆,2019-05-06,12,μg/m3
馬公,2019-05-03,18,μg/m3
金門,2019-05-03,18,μg/m3
馬祖,2019-05-03,20,μg/m3
宜蘭,2019-05-03,15,μg/m3
陽明,2019-05-03,11,μg/m3
花蓮,2019-05-03,12,μg/m3
臺東,2019-05-03,10,μg/m3
恆春,2019-05-03,7,μg/m3
屏東,2019-05-03,17,μg/m3
前金,2019-05-03,18,μg/m3
美濃,2019-05-03,9,μg/m3
臺南,2019-05-03,24,μg/m3
新營,2019-05-03,25,μg/m3
嘉義,2019-05-03,23,μg/m3
朴子,2019-05-03,21,μg/m3
斗六,2019-05-03,24,μg/m3
南投,2019-05-03,18,μg/m3
彰化,2019-05-03,16,μg/m3
忠明,2019-05-03,14,μg/m3
豐原,2019-05-03,12,μg/m3
三義,2019-05-03,13,μg/m3
苗栗,2019-05-03,15,μg/m3
新竹,2019-05-03,16,μg/m3
竹東,2019-05-03,15,μg/m3
平鎮,2019-05-03,16,μg/m3
桃園,2019-05-03,15,μg/m3
